cand_id,source,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_mid,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,RESISTANCE_ratio_AA_pred,RESISTANCE_ratio_AA_sd,FORCES_pred,FORCES_sd,WAVEHEIGHTS_pred,WAVEHEIGHTS_sd,trusted
tiger_c01,relaxed_k1_l1_tr,0.9372190987498614,0.8900160732126757,0.1141369502732251,0.4582558412032501,0.5450366424355275,0.5910960693317096,0.8574937226039441,0.4419069178173699,0.7539907664362502,8.169024644982434,0.0330442841259316,0.3490711540366608,0.4574519001636083,0.5483002487974802,0.5385504166493379,0.9043986058871228,99.7374038696289,0.1153626069426536,-0.7801903486251831,0.3279026448726654,0.0455801375210285,0.290879487991333,True
tiger_c02,relaxed_k1_l1_tr,0.937508603715331,0.8900348449989631,0.1364641634270232,0.4579882795483177,0.5631514811953066,0.6172788980935023,0.8575235906186657,0.4370341984693229,0.6685073369870835,-4.979087138856447,0.0266483676218281,0.3800202999533429,0.460787575399424,0.6368836293995969,0.4962734622330526,0.6961257617833853,99.84178161621094,0.1148639321327209,-0.9387477040290833,0.3285736441612243,0.0893054902553558,0.2909004390239715,True
tiger_c03,relaxed_k1_l1_tr,0.9373490850006494,0.8900268265662444,0.1091152934028454,0.4716482294512168,0.5994763623060666,0.5347718626372223,0.8574993280657184,0.4954786525856284,0.736919858041494,-8.188003721887098,0.0412767694852559,0.3679584960748862,0.3934074814578729,0.4199623557866292,0.4826994740105894,0.8096591481172479,99.72547912597656,0.1154595613479614,-0.4045049548149109,0.3297263383865356,-0.0691204369068145,0.2908467650413513,True
tiger_c04,relaxed_k1_l1_tr,0.8904040078440586,0.8900475138318841,0.1095380044723073,0.4579801764838027,0.6039186262156141,0.5566454180494572,0.8648303048738634,0.3630962782183181,0.6089637821790582,-16.7054503189175,0.0721882556753148,0.3770703735616031,0.3063214244130406,0.4590233166217406,0.4869618382329122,0.7669104893318908,100.10570526123048,0.114593431353569,-0.5372995138168335,0.3279104828834533,-0.6941409111022949,0.2910557985305786,True
tiger_c05,relaxed_k1_l1_tr,0.9355571919728292,0.8898090969292743,0.111012473416369,0.4668551620129134,0.6330887260440589,0.6125623021663902,0.8590064682602747,0.4936290524891278,0.6220736082241404,-14.390351064895976,0.0272848847519646,0.3800142998194635,0.5308764595424306,0.4602150924932665,0.5654701008980296,0.6537021350492165,99.84095764160156,0.114857479929924,-0.7423723936080933,0.3279158473014831,-0.0286422725766897,0.2908568978309631,True
tiger_c06,relaxed_k1_l1_tr,0.927172675588084,0.8897803046437672,0.105759020940726,0.4975454389279795,0.4146281839985383,0.5400980028894811,0.8574920699787313,0.3414360398521504,0.6314591045104946,9.694848489662611,0.0588149811356683,0.310545953111827,0.3686719429623165,0.4442728675185199,0.5290342116987755,0.8130993600109793,99.92361450195312,0.1147089749574661,-0.7182363867759705,0.3278552889823913,-0.4189190864562988,0.2908567488193512,True
tiger_c07,relaxed_k1_l1_tr,0.9277986720003502,0.8899179393005974,0.1257255983218959,0.4579838190146271,0.5074529189554944,0.5093731211705403,0.8575553123321807,0.3610794089113605,0.4842863031616826,-4.162774306053243,0.0593594473665897,0.3323669200869055,0.4103306211688119,0.4389027423819897,0.5403589152541936,0.6364090030772621,99.92732238769533,0.1147049143910408,-0.6076030135154724,0.3278200924396515,-0.5034363865852356,0.290898323059082,True
tiger_c08,relaxed_k1_l1_tr,0.9364669301522016,0.8899602182561133,0.122338859378399,0.459586720907403,0.6139740322487927,0.5897775926174733,0.8575344523230805,0.4893487625252378,0.6257427385306014,-1.163244150412163,0.0264609742043109,0.291966373350999,0.4623075613702472,0.544311298068986,0.5162407749070509,0.9508876515723386,99.72022247314452,0.1155151948332786,-0.6099367737770081,0.3279541730880737,0.1422095596790313,0.2909218072891235,True
tiger_c09,relaxed_k1_l1_tr,0.8416367946762734,0.8899155562509159,0.1068458883312197,0.4579736869150133,0.6149010682420512,0.5119495111363962,0.8652937988473709,0.4618821375250354,0.6449742808223825,9.872347111866334,0.0597490172676632,0.3558988079581848,0.3400813380058821,0.4640695979687192,0.5103588486449233,0.8006615769821753,100.50756072998048,0.114753320813179,-1.0240247249603271,0.3296165466308594,-1.2103153467178345,0.2942933142185211,True
tiger_c10,relaxed_k1_l1_tr,0.9062721678726046,0.8897573891320462,0.1183723138250484,0.4606069999572365,0.4649634026715551,0.5165062640911876,0.8574829347460975,0.3662275748292043,0.5583255462455362,-10.369920697486368,0.0688693674654748,0.2994605307058789,0.3909111355572914,0.446039345658955,0.5666729801366006,0.6109584349224517,100.03336334228516,0.1146229282021522,-0.5526320338249207,0.3277897536754608,-0.6148614883422852,0.290979266166687,True
tiger_c11,relaxed_k1_l1_tr,0.9017282486137064,0.8899149902721638,0.1356670575868452,0.4937165676900316,0.5493399523941158,0.5932008634427209,0.8574945800208409,0.502912387978056,0.6496420145549805,-22.205550314037673,0.0311150162562071,0.3584778877054166,0.5642841979738531,0.4404373471510524,0.4709942306960266,0.5447014061658044,100.08333587646484,0.1146010309457779,-0.935340702533722,0.3345322012901306,-0.2102628052234649,0.290834903717041,True
tiger_c12,relaxed_k1_l1_tr,0.8732641377563548,0.8830424007764759,0.1196760024990078,0.4580201163229461,0.5334673338774505,0.5363394934837462,0.8575107315474799,0.3633369225574337,0.5920929831973788,-8.985683233882337,0.081077515356224,0.3528620524533331,0.3413367514440018,0.4764457760944032,0.5519167572220178,0.8511992151915926,100.04541778564452,0.1146167665719986,-0.3635804355144501,0.3282188177108764,-0.7871121168136597,0.2911949157714844,True
tiger_c13,relaxed_k1_l1_tr,0.9363453050100567,0.8898934738362263,0.1188286420613086,0.4808270279562335,0.5234227437781727,0.5839034911632526,0.85749353158109,0.4603232765556012,0.4674517586892196,9.925902767021617,0.0380926860519676,0.3445630308890471,0.4072164804316485,0.4280086760519084,0.5700060081917262,0.683927546865118,99.86458587646484,0.1148023009300232,-0.5723105669021606,0.3293887078762054,-0.0917071178555488,0.2908409833908081,True
tiger_c14,relaxed_k1_l1_tr,0.9098211600220052,0.8895778946152052,0.1114429867417883,0.4582589530982032,0.6196960842594093,0.5584306642448676,0.8574902623997405,0.3737550290756958,0.5042515536963093,7.5153403219601564,0.0605234990185355,0.3682705082219575,0.3814850246370552,0.4938428675823357,0.5328357598075153,0.9512420442908636,99.84416198730467,0.1148495376110076,-0.5360417366027832,0.3278699517250061,-0.3404010236263275,0.2908391654491424,True
tiger_c15,relaxed_k1_l1_tr,0.882879499496599,0.8900132319645364,0.1276300831531047,0.5199044883642885,0.438002111058495,0.5844246425054138,0.8584088987598594,0.3279137567599969,0.4704280625038116,1.6451846897019655,0.0661542190055607,0.2742476182619123,0.3213548942769643,0.5774847828727193,0.4442512855135143,0.5549762862278249,100.2817153930664,0.1145840436220169,-0.707956850528717,0.3277995884418487,-0.7620458006858826,0.2911459803581238,True
tiger_c16,relaxed_k1_l1_tr,0.8635359493566873,0.8899821745278479,0.1315704263659235,0.4808772265952474,0.4590071002035802,0.5230161076633241,0.8574932354958746,0.4075200216637674,0.6451345614705047,-4.081769457072873,0.065037306116225,0.3164633015347276,0.5126747175109188,0.5283960874902318,0.5143068697402589,0.8362831260642043,100.10589599609376,0.1145947575569152,-0.6963930130004883,0.3299075663089752,-0.7806096076965332,0.2911761105060577,True
tiger_c17,relaxed_k1_l1_tr,0.9374872787210954,0.890012382801451,0.124491401446193,0.5298351899175135,0.3400659359920981,0.5861854554772536,0.8576539293493108,0.4940177207635857,0.7177684080151998,6.0413874375246515,0.0460771612299423,0.3055395511252324,0.3224608786879899,0.6362869694434968,0.501855186034098,0.8155866144296413,99.61959838867188,0.1173697710037231,0.496396005153656,0.330569326877594,0.778049647808075,0.2915842533111572,True
tiger_c18,relaxed_k1_l1_tr,0.937502304034551,0.8899991467359935,0.1104067729592177,0.4580869501093619,0.5477145184823933,0.5799548191684945,0.8599190364498606,0.399259988250574,0.6405638180115916,-21.932808305047452,0.05060114113621,0.339064347422705,0.4393401864924553,0.4580808484992982,0.5095635458846857,0.8202750376094415,99.81573486328124,0.1149331554770469,-0.4678217470645904,0.3280528783798218,-0.1580191552639007,0.2908459901809692,True
tiger_c19,relaxed_k1_l1_tr,0.891511462655436,0.8900955196438375,0.1244663368291067,0.4871687548075381,0.3341929730012359,0.5131337254797314,0.8746100936328339,0.3508530272190041,0.5581721174855353,-13.038969413443482,0.060540768463573,0.2581009631882683,0.4892998041074879,0.4628240747190179,0.4858653088216567,0.6672075509564702,100.3843994140625,0.1146295666694641,-0.8677655458450317,0.3282456696033478,-0.9240999817848206,0.2915957570075989,True
tiger_c20,relaxed_k1_l1_tr,0.9374185031246762,0.8898978449320599,0.1327327860138644,0.5044779404478531,0.5303000265776328,0.6316999265370024,0.8575887150570496,0.5383062375789892,0.618592367054637,-18.49078479067401,0.053365174352815,0.2925201141784386,0.3987978683319641,0.5178319785362958,0.4670763355242057,0.5333176820118544,99.595947265625,0.1182410269975662,1.6587064266204834,0.3346732258796692,1.8780442476272583,0.2957415580749511,True
tiger_c21,relaxed_k1_l1_tr,0.9374563732549348,0.889844957477262,0.1139761492774543,0.4668453316452753,0.6426857839508839,0.6033170039992036,0.8574910064808874,0.4534262333636533,0.5744385603524499,-19.118207686587237,0.0301191730034673,0.3799966868696379,0.4672939445587046,0.5063897402844506,0.4831136700056112,0.7905754659803824,99.91422271728516,0.1147218868136406,-0.8841960430145264,0.3283532559871673,-0.1493490785360336,0.2908373475074768,True
