_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_mid,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,FORCES_pred,FORCES_sd,RESISTANCE_ratio_AA_pred,RESISTANCE_ratio_AA_sd,trusted,proposed_for_batch,regime,round,surrogate_round,gate_nd,gate_edge_ok,gate_calibrated,gate_in_distribution,manifold_dist,manifold_thresh
0.95,0.8868125767510784,0.11559037181839,0.4764376568151371,0.3731448447643362,0.6175586281607928,0.8727164815002599,0.5164958520051689,0.597143058689996,-16.614698378430013,0.0960143972522615,0.3346287526079774,0.5490447977308256,0.5273010253160982,0.4457868042928045,0.7803320413375787,2.417849540710449,0.3506879210472107,99.49932098388672,0.1275000721216201,False,False,small_n,1,1,True,False,False,False,4.4421873,4.441989421844482
0.9499924024479536,0.8999983179437712,0.1174205986454596,0.4944249218148415,0.2738063567376511,0.6198268063828104,0.8582137365637111,0.3939612799476503,0.6545126831388164,9.364594698703092,0.0671306291563027,0.3416942927751214,0.5217404188968214,0.529684109637745,0.4774077942354265,0.8006760190992559,1.7353626489639282,0.3334352970123291,99.52079010009766,0.1239223107695579,False,False,small_n,1,1,True,False,True,True,3.9538474,4.441989421844482
0.9493923931774774,0.8771257564207627,0.1194046561251316,0.5247385199051383,0.495454522056205,0.6337113160473304,0.8592558865198242,0.5469478940723708,0.528952677717019,-26.541969622066222,0.0582906564883821,0.3333093604334939,0.4774487791160759,0.4993841768522845,0.4645500236976033,0.5727177363563325,1.919166684150696,0.3321112692356109,99.6027374267578,0.1179627627134323,False,False,small_n,1,1,False,False,True,False,4.4690475,4.441989421844482
0.9242613624928748,0.8869102081527386,0.1110581216355122,0.5150124976254693,0.098614577923339,0.5986905194164817,0.8689306558197071,0.5414652999703159,0.6278881316888921,11.40414748978252,0.0724882999089837,0.320466827103972,0.2208761248807478,0.4716284683953763,0.4629991212141117,0.7862710880514419,1.7191505432128906,0.3336620330810547,99.6756820678711,0.1160762459039688,False,False,small_n,1,1,False,True,False,True,4.405421,4.441989421844482
0.95,0.8991084130619762,0.1000005239091917,0.4814033400745616,0.2441998080501362,0.6041008210662979,0.8500001274929929,0.5379257846437414,0.6854522994449123,6.577911997313252,0.0339413395658035,0.3438729496648275,0.6046464146055942,0.4604202043063231,0.5327390072044915,0.8818301933634908,0.2315056473016739,0.3282768130302429,99.61294555664062,0.1175885871052742,False,False,small_n,1,1,False,False,True,True,4.3608394,4.441989421844482
0.9497710159471712,0.9,0.1165687663724168,0.4443544575979889,0.5391588656307569,0.6154065782474364,0.85,0.4891409856861708,0.6701926333292431,-13.13737962865922,0.0312317787040956,0.3390165178179271,0.5523234558534466,0.56932587932824,0.5425405098228024,0.8639655893404825,-0.3124686479568481,0.3279194831848144,99.59017181396484,0.1184973567724227,False,False,small_n,1,1,True,False,True,False,4.5115724,4.441989421844482
0.95,0.9,0.1190092526640866,0.4656280863331457,0.5321998588723785,0.5858560793165849,0.8500043762962788,0.4862073289893223,0.7179733564483223,-16.012544430836254,0.0319155066332316,0.3229390122702014,0.5786452129333283,0.5897655864090007,0.5454153014628674,0.6787410699804629,-0.3409680128097534,0.3293706178665161,99.62449645996094,0.1172187253832817,False,False,small_n,1,1,False,False,True,False,4.503348,4.441989421844482
0.9469391027792454,0.9,0.1146365722054634,0.4479439267214634,0.7110183750221635,0.5874736497353604,0.85,0.4461224264327039,0.6769670314227326,-3.59803430027005,0.0322793341705244,0.3287221115694859,0.5511515186441986,0.5693424483698147,0.5499350065673542,0.8048039436396672,-0.6082122325897217,0.3283091187477112,99.60794830322266,0.1177694424986839,False,False,small_n,1,1,True,False,True,False,4.513564,4.441989421844482
0.95,0.8970996641828677,0.1155254870513821,0.4707315810714201,0.6114880189847981,0.6472972603778049,0.8829406405364932,0.4564015162350718,0.5043070315167344,-14.471801362750414,0.0298247888190667,0.2886698333371844,0.4381139143047303,0.5349717471223568,0.521407720476493,0.5938728447610072,-0.1159379929304122,0.3280781805515289,99.7863540649414,0.1150550246238708,False,False,small_n,1,1,False,False,True,False,4.5771794,4.441989421844482
0.8599793611002585,0.8651172701997372,0.1056855578798281,0.567857076052852,0.4565194161348014,0.550855142728989,0.8768889347815492,0.4787954385451849,0.4858068874020367,9.463805745643851,0.07232403553064,0.2367102943504187,0.3912002900187861,0.6097678053250428,0.4212016548185797,0.786236071885599,0.6306008696556091,0.3300107717514038,100.1290283203125,0.1145876869559288,False,False,small_n,1,1,False,True,False,False,4.5931015,4.441989421844482
