cand_id,source,in_batch20,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,RESISTANCE_ratio_AB_pred,RESISTANCE_ratio_AB_sd,FORCES_pred,FORCES_sd,WAVEHEIGHTS_pred,WAVEHEIGHTS_sd,ct_ffw_HP01_value_pred,trusted
vera_c01,fix123_k1_l1_tr,False,0.8424129651166649,0.8410255403133662,0.1050024401341095,0.6457625251531307,0.4212338461339852,0.575484006583143,0.9054247146740504,0.3526622927785958,0.7598050018475203,6.168453182275694,0.0576706613673041,0.3253233037709677,0.274068710246907,0.4410080072791065,0.4631449763635348,0.8901594141666762,96.74234771728516,0.2518390417098999,-1.001934051513672,0.2504422962665558,-0.4388984143733978,0.2572664320468902,7.139050006866455,True
vera_c02,fix123_k1_l1_tr,False,0.8413947226379682,0.8757017370535262,0.1050035092201443,0.6996338949747786,0.5512901575432229,0.5449226025831599,0.907082840121546,0.3878025908619066,0.7014568346414742,8.525861443613492,0.0590398221587917,0.2469385752954325,0.4334962308757984,0.4110461551705958,0.4534167536562836,0.8940700960703016,96.8012237548828,0.2456042766571045,-1.011130690574646,0.2540783286094665,-0.4443425238132477,0.2572734653949737,7.145448207855225,True
vera_c03,fix123_k1_l1_tr,False,0.7875268533507885,0.92157721698927,0.1051890227631659,0.6443297603206917,0.5451082765238241,0.5908011451559052,0.8905617104555544,0.2425656202554369,0.5601984615862529,1.7272563787404682,0.128751051058753,0.2322505539746343,0.3450695202598624,0.38655951749138,0.4222497596721943,0.86464689512167,97.2135238647461,0.2343864142894745,-0.4326403141021728,0.2244603633880615,-1.0933953523635864,0.2672354876995086,6.848828315734863,True
vera_c04,fix123_k1_l1_tr,False,0.7880250592174778,0.9107149614176152,0.1077212179039256,0.6581930475534568,0.3006344577697185,0.5669982898182635,0.8929399504224199,0.2471196384767785,0.4028043033329823,-6.712301232859134,0.1355454746096566,0.0961674491278449,0.4474348695358865,0.3526160514744756,0.4474507828221437,0.8815534686945286,97.35375213623048,0.2341937720775604,-0.0382470339536666,0.2246235162019729,-1.0933977365493774,0.2672384977340698,6.800827503204346,True
vera_c05,fix123_k1_l1_tr,True,0.8145370609193339,0.9128901854957576,0.105079526290493,0.6605045644558788,0.5270089689257651,0.5729205940684887,0.8876468242161157,0.3313389178306422,0.7564485268131292,6.10431504958912,0.0842662782863968,0.2179344869848185,0.3339487173772416,0.4384128137352703,0.4523801090666071,0.8958422097377758,96.85269927978516,0.2418783605098724,-0.91815847158432,0.235044315457344,-0.8759496808052063,0.2585698366165161,7.069673538208008,True
vera_c06,fix123_k1_l1_tr,False,0.8387035477168392,0.8602708205557016,0.1049989883025932,0.63222238546321,0.5925049485137794,0.5646252229053812,0.9087375578410144,0.4028253348504717,0.7163240073249445,6.943840911239713,0.0622566871226667,0.2991710648456353,0.2948395734522275,0.4284960585952573,0.4502646785378455,0.8812252545732875,96.76768493652344,0.24878790974617,-0.9912424683570862,0.2471179664134979,-0.4540402293205261,0.2572685778141022,7.133725166320801,True
vera_c07,fix123_k1_l1_tr,False,0.8449040923326603,0.8741001957113496,0.104997733353298,0.6478650643554859,0.663499981605736,0.551802751433259,0.9118306654929276,0.4456130744821107,0.7592296212833964,7.4230388049055875,0.0550008530299926,0.2340566881208861,0.3730873969936882,0.4132127187604127,0.4475209139128688,0.931292731453028,96.77809143066406,0.2477001696825027,-1.0113290548324585,0.2541610598564148,-0.4354159533977508,0.2572706043720245,7.210565090179443,True
vera_c08,fix123_k1_l1_tr,False,0.7875020241606977,0.8827233120468011,0.1049988172794313,0.6471303448973582,0.4270748215721429,0.5885522689336422,0.9086057712399856,0.2879975257963341,0.5707096000475207,9.229266231139718,0.0786071911507493,0.2616261511324074,0.3383089882495573,0.4063200772058823,0.4658400847479716,0.9068612256431672,96.83280181884766,0.2432224005460739,-0.775729238986969,0.2274423539638519,-0.932918667793274,0.259515643119812,6.712634086608887,True
vera_c09,fix123_k1_l1_tr,True,0.7967735944576928,0.914109201063978,0.1049947280653142,0.6304735791999274,0.6183437729524031,0.5713279350231403,0.8988659099381088,0.3303287702730596,0.5648353765722919,3.2368906204528667,0.0769422833586543,0.2320798765606923,0.3434992276561487,0.3521186192826278,0.4530274974478256,0.9065018709414576,96.83821105957033,0.242800086736679,-0.8777002692222595,0.2317779064178466,-0.9196391701698304,0.2592496275901794,6.9142279624938965,True
vera_c10,fix123_k1_l1_tr,True,0.8011640008919598,0.9362998956642008,0.104997850689581,0.6383854026475604,0.37075374019467,0.556367069760803,0.8861234379406733,0.3536723843875635,0.5607674969394644,9.425421443262508,0.0771390544561706,0.1107546229495555,0.3849716730867236,0.3237606949769375,0.4807411664372406,0.8832923708836999,96.86388397216795,0.24125736951828,-0.8572865128517151,0.2305668890476226,-1.0817445516586304,0.2661623060703277,6.965123653411865,True
vera_c11,fix123_k1_l1_tr,True,0.7963532077109934,0.9195200586706606,0.1051352479918273,0.6547208089204192,0.7011567918518081,0.5563164817586037,0.8940673096795386,0.3311254859337007,0.5981781709861174,3.2695187161888204,0.0693245049209167,0.1013072885868155,0.4499804826025364,0.3031459042498355,0.4841552958741837,0.8647972435920617,96.86140441894533,0.2413984984159469,-0.916084885597229,0.2348399013280868,-0.9447270035743712,0.2597697079181671,6.956466197967529,True
