_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,f(x),FORCES,RTRWPMIX,ct_ffw_HP01_value,Design ID,Ancestry,FSOPT_Generation,FSOPT_Design_ID,FSOPT_Parent_ID
0.8417647059,0.9,0.1105882353,0.7223529412,0.8903921569,0.5439215686,0.9312941176,0.4823529412,0.3796078431,-12.37647059,0.1433333333,0.03450980392,0.472,0.4274509804,0.484,0.8674509804,,1.108979,0.9451324,7.35933,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00011,,1,03_OPT/00/NSGA1_000/DES_00011,
0.8505882353,0.9049019608,0.1094117647,0.7,0.9164705882,0.5674509804,0.9289411765,0.5764705882,0.4925490196,-0.6823529412,0.1421568627,0.0831372549,0.494,0.4058823529,0.488,0.9949019608,,2.273519,2.420316,7.44877,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00012,,1,03_OPT/00/NSGA1_000/DES_00012,
0.8364705882,0.8843137255,0.111372549,0.6917647059,0.8307843137,0.5243137255,0.9392941176,0.5694117647,0.3921568627,1.129411765,0.147254902,0.1976470588,0.444,0.4666666667,0.492,0.8419607843,,1.231201,1.202033,7.26455,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00013,,1,03_OPT/00/NSGA1_000/DES_00013,
0.85,0.8950980392,0.1156862745,0.68,0.9350980392,0.5643137255,0.9449411765,0.4376470588,0.6243137255,-2.164705882,0.1378431373,0.01725490196,0.436,0.4549019608,0.466,0.9260784314,,1.259608,1.091538,7.44002,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00014,,1,03_OPT/00/NSGA1_000/DES_00014,
0.8305882353,0.8931372549,0.1019607843,0.7505882353,0.9239215686,0.602745098,0.9463529412,0.5811764706,0.5270588235,1.788235294,0.1390196078,0.09568627451,0.452,0.4647058824,0.42,0.8878431373,,1.32993,1.631802,7.25489,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00015,,1,03_OPT/00/NSGA1_000/DES_00015,
0.8452941176,0.8549019608,0.1039215686,0.7352941176,0.9462745098,0.5807843137,0.9247058824,0.4023529412,0.4580392157,-5.623529412,0.1445098039,0.0831372549,0.496,0.4568627451,0.5,0.8623529412,,0.6653517,0.7245864,7.33029,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00016,,1,03_OPT/00/NSGA1_000/DES_00016,
0.8094117647,0.9323529412,0.1160784314,0.7094117647,0.8047058824,0.5211764706,0.9548235294,0.5317647059,0.4862745098,-2.823529412,0.1464705882,0.128627451,0.502,0.4960784314,0.494,0.8394117647,,1.005236,0.8762407,7.15889,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00017,,1,03_OPT/00/NSGA1_000/DES_00017,
0.8394117647,0.8705882353,0.1152941176,0.7,0.8903921569,0.5392156863,0.912,0.3882352941,0.4643137255,2.611764706,0.1378431373,0.1505882353,0.45,0.4647058824,0.486,0.9592156863,,0.2112801,0.256596,7.29255,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00018,,1,03_OPT/00/NSGA1_000/DES_00018,
0.8358823529,0.9362745098,0.1015686275,0.7223529412,0.8494117647,0.5815686275,0.9468235294,0.48,0.4360784314,-2.988235294,0.1378431373,0.1160784314,0.502,0.4058823529,0.482,0.8547058824,,0.9283211,1.001594,7.36801,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00019,,1,03_OPT/00/NSGA1_000/DES_00019,
0.8411764706,0.9137254902,0.1062745098,0.7129411765,0.8568627451,0.5721568627,0.9294117647,0.4729411765,0.5396078431,0.4705882353,0.1488235294,0.09882352941,0.408,0.4666666667,0.468,0.7833333333,,1.474277,1.444318,7.36618,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00020,,1,03_OPT/00/NSGA1_000/DES_00020,
