_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp_y,_2_fwd_4_COLUs_col4_0_speed_r_2_PV_sp,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_v_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_u_03,_2_fwd_3_GUIDEs_GUIDE_3_1_SplineSnap_4_SHIFTS_PV_t_02,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_t_angle,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_sp,_2_fwd_3_GUIDEs_GUIDE_2_4_circleSnap_PV_ax_end,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_v_02,_2_fwd_3_GUIDEs_GUIDE_2_1_SplineSnap_4_SHIFTS_PV_u_02,_2_fwd_2_VERTICAL_2_FRAME_seg02_PM_PV_zr_end,_2_fwd_2_VERTICAL_2_FRAME_seg01_PM_PV_zr_end,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_sp_midPoint,_2_fwd_2_VERTICAL_1_STEM_seg02_PM_PV_ar_mid,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_Start,_2_fwd_2_VERTICAL_1_STEM_seg01_PV_sp_End,_2_fwd_2_VERTICAL_1_STEM_PM_PV_zr_bulbNose,_2_fwd_2_VERTICAL_0_PM_PV_zr_FP,f(x),FORCES,WAVEHEIGHTS,Design ID,Ancestry,FSOPT_Generation,FSOPT_Design_ID,FSOPT_Parent_ID
0.4466666667,0.3366666667,0.5317647059,0.4658823529,0.4996078431,0.5623529412,0.1336862745,10.51764706,0.5835294118,0.4149019608,0.8894117647,0.3725490196,0.6250980392,1.192156863,0.6898823529,0.1494117647,0.8656862745,0.7980392157,,0.4267051,0.5883086,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00024,,1,03_OPT/00/NSGA1_000/DES_00024,
0.4066666667,0.3966666667,0.5105882353,0.5145098039,0.4035294118,0.5647058824,0.1352156863,6.235294118,0.5615686275,0.4509803922,0.8847058824,0.3294117647,0.6282352941,1.301960784,0.6390588235,0.1384313725,0.9284313725,0.7674509804,,0.023079,0.08225322,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00025,,1,03_OPT/00/NSGA1_000/DES_00025,
0.2933333333,0.6066666667,0.5670588235,0.5270588235,0.56,0.5905882353,0.1245098039,3.6,0.5145098039,0.4964705882,0.8823529412,0.3482352941,0.6243137255,1.411764706,0.6545882353,0.168627451,0.9205882353,0.8137254902,,0.2934474,0.8785693,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00026,,1,03_OPT/00/NSGA1_000/DES_00026,
0.38,0.4733333333,0.5035294118,0.4298039216,0.4062745098,0.5435294118,0.1214509804,2.282352941,0.542745098,0.5262745098,0.9152941176,0.351372549,0.6164705882,1.560784314,0.6051764706,0.1368627451,0.8352941176,0.802745098,,0.9066199,1.259663,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00027,,1,03_OPT/00/NSGA1_000/DES_00027,
0.29,0.7466666667,0.5035294118,0.497254902,0.4941176471,0.56,0.130627451,3.270588235,0.4109803922,0.4729411765,0.9158823529,0.3843137255,0.622745098,0.7529411765,0.6941176471,0.1560784314,0.9147058824,0.8192156863,,0.7581345,1.192683,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00029,,1,03_OPT/00/NSGA1_000/DES_00029,
0.3033333333,0.5166666667,0.5223529412,0.5160784314,0.5682352941,0.5152941176,0.1219607843,2.611764706,0.5552941176,0.502745098,0.9188235294,0.3678431373,0.6337254902,1.474509804,0.6912941176,0.1443137255,0.9117647059,0.7447058824,,0.2661899,0.2191297,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00030,,1,03_OPT/00/NSGA1_000/DES_00030,
0.3233333333,0.5033333333,0.4470588235,0.5035294118,0.4529411765,0.5152941176,0.1214509804,0.4705882353,0.5050980392,0.537254902,0.9076470588,0.3615686275,0.6274509804,1.505882353,0.6305882353,0.142745098,0.8960784314,0.8082352941,,0.6979129,1.138178,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00032,,1,03_OPT/00/NSGA1_000/DES_00032,
0.3233333333,0.3833333333,0.3458823529,0.4831372549,0.4639215686,0.5694117647,0.1234901961,6.894117647,0.3764705882,0.5121568627,0.8935294118,0.3709803922,0.6282352941,1.490196078,0.6912941176,0.1741176471,0.9,0.7949019608,,0.4549129,0.6902244,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00033,,1,03_OPT/00/NSGA1_000/DES_00033,
0.2933333333,0.4166666667,0.5035294118,0.5505882353,0.417254902,0.5976470588,0.1449019608,3.105882353,0.4768627451,0.5231372549,0.8794117647,0.3662745098,0.6415686275,1.247058824,0.7124705882,0.1411764706,0.8823529412,0.7768627451,,1.178587,1.424825,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00038,,1,03_OPT/00/NSGA1_000/DES_00038,
0.2433333333,0.27,0.5035294118,0.5301960784,0.5682352941,0.5482352941,0.1357254902,6.894117647,0.4235294118,0.4305882353,0.9094117647,0.3411764706,0.6141176471,1.6,0.6757647059,0.1521568627,0.9450980392,0.7847058824,,0.1721178,0.6291636,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00040,,1,03_OPT/00/NSGA1_000/DES_00040,
0.4733333333,0.5833333333,0.5270588235,0.5176470588,0.5407843137,0.5694117647,0.1219607843,2.611764706,0.3262745098,0.5247058824,0.8888235294,0.3474509804,0.622745098,1.223529412,0.6672941176,0.1360784314,0.8833333333,0.8537254902,,0.6037685,1.110925,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00041,,1,03_OPT/00/NSGA1_000/DES_00041,
0.4366666667,0.4866666667,0.4917647059,0.4862745098,0.4501960784,0.5976470588,0.1408235294,9.2,0.4956862745,0.5121568627,0.9082352941,0.3458823529,0.6258823529,1.6,0.6856470588,0.1549019608,0.9049019608,0.7996078431,,1.027587,1.567599,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00044,,1,03_OPT/00/NSGA1_000/DES_00044,
0.4533333333,0.4933333333,0.4964705882,0.462745098,0.628627451,0.5152941176,0.130627451,2.776470588,0.5239215686,0.4933333333,0.8888235294,0.3396078431,0.6070588235,1.450980392,0.6545882353,0.1419607843,0.918627451,0.7964705882,,0.6219634,1.096868,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00045,,1,03_OPT/00/NSGA1_000/DES_00045,
0.2066666667,0.4166666667,0.4635294118,0.4345098039,0.4282352941,0.5529411765,0.130627451,-1.505882353,0.4674509804,0.5011764706,0.9,0.3184313725,0.6290196078,1.184313725,0.7294117647,0.1529411765,0.8833333333,0.8003921569,,0.8480967,1.035697,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00046,,1,03_OPT/00/NSGA1_000/DES_00046,
0.3633333333,0.6733333333,0.4235294118,0.4847058824,0.4090196078,0.5341176471,0.1336862745,-7.105882353,0.4674509804,0.5356862745,0.91,0.3419607843,0.6494117647,1.11372549,0.6757647059,0.131372549,0.9137254902,0.8098039216,,1.096448,1.439208,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00049,,1,03_OPT/00/NSGA1_000/DES_00049,
0.3333333333,0.45,0.5011764706,0.5003921569,0.5105882353,0.5505882353,0.1301176471,5.082352941,0.4988235294,0.4996078431,0.8905882353,0.3498039216,0.6196078431,1.349019608,0.6785882353,0.1498039216,0.9098039216,0.8098039216,,0.5693953,1.041416,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00050,,1,03_OPT/00/NSGA1_000/DES_00050,
0.2933333333,0.4066666667,0.5905882353,0.4376470588,0.4584313725,0.5529411765,0.1352156863,4.752941176,0.5396078431,0.4776470588,0.8917647059,0.3709803922,0.6062745098,1.521568627,0.6461176471,0.1301960784,0.918627451,0.7988235294,,0.4390724,0.9647972,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00051,,1,03_OPT/00/NSGA1_000/DES_00051,
0.6,0.3566666667,0.5670588235,0.4674509804,0.3596078431,0.5341176471,0.1183921569,1.788235294,0.3733333333,0.5121568627,0.9105882353,0.3756862745,0.6447058824,1.317647059,0.6545882353,0.171372549,0.9068627451,0.78,,0.2346484,0.2602347,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00052,,1,03_OPT/00/NSGA1_000/DES_00052,
0.4,0.64,0.5929411765,0.4909803922,0.5737254902,0.5788235294,0.1178823529,1.623529412,0.1537254902,0.5419607843,0.8823529412,0.3482352941,0.6164705882,0.9725490196,0.6927058824,0.1380392157,0.8901960784,0.8043137255,,0.3540979,0.586358,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00053,,1,03_OPT/00/NSGA1_000/DES_00053,
0.4133333333,0.7266666667,0.5035294118,0.5019607843,0.5764705882,0.4964705882,0.1357254902,6.235294118,0.2823529412,0.5043137255,0.8864705882,0.3419607843,0.6235294118,1.184313725,0.6122352941,0.1184313725,0.8960784314,0.828627451,,1.315335,1.920212,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00054,,1,03_OPT/00/NSGA1_000/DES_00054,
0.2033333333,0.3066666667,0.3741176471,0.4282352941,0.3239215686,0.5623529412,0.1321568627,-5.788235294,0.5239215686,0.4729411765,0.8847058824,0.3207843137,0.6305882353,1.28627451,0.7830588235,0.1552941176,0.8676470588,0.8098039216,,0.9192527,1.025975,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00055,,1,03_OPT/00/NSGA1_000/DES_00055,
0.3433333333,0.4566666667,0.5788235294,0.577254902,0.6066666667,0.5552941176,0.1316470588,-2.0,0.6117647059,0.4603921569,0.8564705882,0.3474509804,0.6133333333,1.521568627,0.6602352941,0.1847058824,0.8892156863,0.8231372549,,1.26389,1.759005,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00056,,1,03_OPT/00/NSGA1_000/DES_00056,
0.4366666667,0.23,0.3905882353,0.5584313725,0.4996078431,0.5552941176,0.1229803922,-0.6823529412,0.5709803922,0.4964705882,0.8752941176,0.3490196078,0.6203921569,1.035294118,0.7167058824,0.1545098039,0.8823529412,0.8160784314,,0.2968647,0.5231936,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00058,,1,03_OPT/00/NSGA1_000/DES_00058,
0.1766666667,0.7033333333,0.56,0.5003921569,0.5709803922,0.5152941176,0.117372549,8.047058824,0.5678431373,0.5309803922,0.9017647059,0.3552941176,0.6298039216,1.325490196,0.6941176471,0.1749019608,0.9362745098,0.8074509804,,0.2776612,0.7742171,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00059,,1,03_OPT/00/NSGA1_000/DES_00059,
0.5566666667,0.34,0.5670588235,0.4031372549,0.4035294118,0.5082352941,0.1285882353,9.529411765,0.4360784314,0.4901960784,0.9011764706,0.3945098039,0.6352941176,1.003921569,0.6475294118,0.1596078431,0.8725490196,0.7996078431,,0.5825062,0.6926211,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00060,,1,03_OPT/00/NSGA1_000/DES_00060,
0.4966666667,0.3866666667,0.5082352941,0.48,0.4254901961,0.5929411765,0.1102352941,11.01176471,0.5082352941,0.4698039216,0.8858823529,0.3458823529,0.6352941176,1.333333333,0.6687058824,0.1356862745,0.9196078431,0.7752941176,,-0.5584906,-0.6774019,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00062,,1,03_OPT/00/NSGA1_000/DES_00062,
0.29,0.5733333333,0.5811764706,0.4721568627,0.3458823529,0.52,0.1352156863,-0.8470588235,0.542745098,0.4870588235,0.8882352941,0.3309803922,0.6031372549,1.411764706,0.6221176471,0.1411764706,0.9049019608,0.8058823529,,1.105843,1.505284,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00063,,1,03_OPT/00/NSGA1_000/DES_00063,
0.4233333333,0.49,0.5176470588,0.542745098,0.5819607843,0.5647058824,0.117372549,-4.470588235,0.4360784314,0.4462745098,0.8752941176,0.3278431373,0.6133333333,1.090196078,0.7082352941,0.1498039216,0.9156862745,0.8278431373,,-0.1468754,0.3263005,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00064,,1,03_OPT/00/NSGA1_000/DES_00064,
0.4133333333,0.4833333333,0.4917647059,0.4988235294,0.4996078431,0.5105882353,0.1449019608,6.235294118,0.5835294118,0.3992156863,0.8952941176,0.3521568627,0.6054901961,1.184313725,0.6037647059,0.14,0.8598039216,0.8152941176,,1.355963,1.77619,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00065,,1,03_OPT/00/NSGA1_000/DES_00065,
0.2066666667,0.2966666667,0.5035294118,0.4862745098,0.4282352941,0.5929411765,0.110745098,1.952941176,0.6494117647,0.502745098,0.9041176471,0.3498039216,0.6062745098,1.325490196,0.6065882353,0.1545098039,0.9382352941,0.8105882353,,-0.7011116,-0.2881373,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00066,,1,03_OPT/00/NSGA1_000/DES_00066,
0.2666666667,0.2933333333,0.3952941176,0.4392156863,0.422745098,0.5176470588,0.1178823529,-8.917647059,0.417254902,0.4792156863,0.9123529412,0.3490196078,0.6454901961,1.019607843,0.7251764706,0.1450980392,0.9078431373,0.762745098,,-0.05191978,-0.4182186,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00068,,1,03_OPT/00/NSGA1_000/DES_00068,
0.4566666667,0.3766666667,0.5129411765,0.5694117647,0.4611764706,0.4847058824,0.1285882353,-2.823529412,0.5615686275,0.408627451,0.8847058824,0.3239215686,0.6509803922,1.160784314,0.5938823529,0.1682352941,0.9382352941,0.8317647059,,0.2836847,0.701781,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00069,,1,03_OPT/00/NSGA1_000/DES_00069,
0.5166666667,0.3433333333,0.4917647059,0.5647058824,0.3815686275,0.5647058824,0.1377647059,8.376470588,0.4737254902,0.4745098039,0.9011764706,0.368627451,0.657254902,0.9647058824,0.6842352941,0.1729411765,0.912745098,0.8121568627,,0.7388609,1.089352,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00070,,1,03_OPT/00/NSGA1_000/DES_00070,
0.5633333333,0.4466666667,0.5835294118,0.4658823529,0.6450980392,0.56,0.1413333333,-0.6823529412,0.5396078431,0.4321568627,0.9070588235,0.3505882353,0.6321568627,0.9019607843,0.6927058824,0.1643137255,0.9196078431,0.7956862745,,0.7871966,1.058999,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00071,,1,03_OPT/00/NSGA1_000/DES_00071,
0.19,0.3933333333,0.48,0.542745098,0.4831372549,0.5294117647,0.1245098039,3.764705882,0.4643137255,0.52,0.8894117647,0.3435294118,0.6431372549,1.419607843,0.6461176471,0.1490196078,0.931372549,0.7925490196,,0.2751768,0.6846484,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00072,,1,03_OPT/00/NSGA1_000/DES_00072,
0.43,0.5866666667,0.5247058824,0.4329411765,0.5270588235,0.5670588235,0.1020784314,5.741176471,0.1129411765,0.5043137255,0.8929411765,0.3184313725,0.6180392157,1.309803922,0.6687058824,0.1541176471,0.8921568627,0.8341176471,,-0.3521751,0.0262371,NSGA_TANDEM/gen001/03_OPT/00/NSGA1_000/DES_00073,,1,03_OPT/00/NSGA1_000/DES_00073,
